date,transactions,active_addresses,volume,unique_senders,unique_receivers
2024-05-13,59,19,619022.5938509966,10,17
2024-05-13,112,30,232674.15403287433,17,27
2024-05-13,68,25,246683.36741629493,11,22
2024-05-13,72,26,120118.22130125087,13,22
2024-05-13,65,21,838146.112381363,13,17
2024-05-13,77,18,91585.99497374751,10,17
2024-05-13,81,26,1691398.5125792846,15,22
2024-05-13,121,24,106653.89922933585,15,22
2024-05-13,125,22,87675.04107648779,13,22
2024-05-13,68,21,130104.63409346594,9,18
2024-05-13,109,22,833287.176274294,12,21
2024-05-13,103,27,1534769.245715126,16,23
2024-05-13,77,21,75035.46163222298,13,18
2024-05-13,49,21,129740.32813480706,12,19
2024-05-13,63,20,69873.79909235645,8,20
2024-05-13,52,12,205885.91402424945,7,10
2024-05-13,21,13,75714.2881179457,8,10
2024-05-13,27,11,57284.79428097397,8,10
2024-05-13,31,16,468699.3788244455,9,11
2024-05-13,49,24,355958.2167011359,10,20
2024-05-13,37,13,54708.54285680616,8,13
2024-05-13,59,11,65088.04448633764,6,11
2024-05-13,29,14,22566.675695047477,5,13
2024-05-13,21,9,10726.350769027984,5,8
2024-05-13,57,13,62951.37778950664,8,12
2024-05-13,11,9,18430.873238672342,4,8
2024-05-14,28,13,211837.35126997076,8,12
2024-05-14,92,21,132678.96520034183,13,21
2024-05-14,73,16,30467.224544880697,10,16
2024-05-14,47,13,111338.85047126,6,13
2024-05-14,39,13,139752.3673267209,6,12
2024-05-14,52,14,47545.67643101877,7,12
2024-05-14,44,16,126247.3533004601,10,14
2024-05-14,39,14,30759.692423984787,5,13
2024-05-14,58,17,151900.48754573576,9,15
2024-05-14,56,16,413170.89222176676,7,15
2024-05-14,60,17,271486.9364356291,8,17
2024-05-14,80,18,108838.87978027848,11,17
2024-05-14,67,19,98975.61826730716,11,16
2024-05-14,70,14,141923.61628702143,8,13
2024-05-14,75,22,827751.9193297924,12,22
2024-05-14,87,33,814149.7020379124,19,25
2024-05-14,98,28,571983.018716035,12,28
2024-05-14,100,22,290814.66199286614,16,20
2024-05-14,82,26,261390.87733204744,15,22
2024-05-14,46,20,994766.6045850737,11,17
2024-05-14,53,15,104657.12431736532,9,15
2024-05-14,74,16,227487.64403179084,9,15
2024-05-14,92,21,750477.1575494562,11,21
2024-05-14,137,25,172506.8562171013,17,22
2024-05-14,95,14,30497.922995964786,6,13
2024-05-14,86,22,758143.916808603,15,18
2024-05-14,161,23,135387.42263319145,9,23
2024-05-14,146,28,263833.59661527915,14,26
2024-05-14,69,19,260397.04283048646,12,16
2024-05-14,81,23,422396.5858255937,12,19
2024-05-14,128,30,203399.25859866533,20,25
2024-05-14,95,22,385516.3577091416,12,20
2024-05-14,117,22,193633.30793652346,8,21
2024-05-14,144,26,173120.06950459976,16,23
2024-05-14,101,23,219687.87867296315,14,21
2024-05-14,99,20,1081827.5137443487,13,17
2024-05-14,141,26,345790.4721546011,18,25
2024-05-14,162,36,1283606.591829479,26,32
2024-05-14,129,22,3002910.939069891,13,19
2024-05-14,152,33,479506.75294694485,23,30
2024-05-14,85,20,84979.99341400492,10,19
2024-05-14,117,27,224201.15107581863,13,26
2024-05-14,102,18,6376299.942397196,9,17
2024-05-14,116,24,79973.99826604784,15,20
2024-05-14,115,20,106383.4994188323,13,17
2024-05-14,94,15,134507.88439552876,10,14
2024-05-14,163,18,167208.90309717305,13,18
2024-05-14,126,16,42964.581351511966,10,15
2024-05-14,155,22,122446.17874780444,12,21
2024-05-14,137,18,42923.72477885892,11,17
2024-05-14,117,17,166762.2778728128,10,16
2024-05-14,17,8,8209.067527696656,4,8
2024-05-15,107,14,31740.2600662665,10,13
2024-05-15,108,14,24978.195250570847,7,13
2024-05-15,188,30,173249.22648042298,20,25
2024-05-15,152,20,72167.13721348818,11,18
2024-05-15,175,23,103472.63154237106,12,22
2024-05-15,123,16,26162.705747479366,11,14
2024-05-15,162,31,62739.5476860089,18,28
2024-05-15,128,18,435344.4745671027,13,16
2024-05-15,130,21,205404.95913953154,15,20
2024-05-15,147,19,594228.4745409642,11,19
2024-05-15,151,22,115600.2669217227,14,18
2024-05-15,195,37,432724.4848127962,24,33
2024-05-15,122,26,121019.89423735418,13,25
2024-05-15,123,23,544383.1877765866,15,20
2024-05-15,67,15,70519.41635468198,8,13
2024-05-15,157,28,2979376.637629526,21,25
2024-05-15,106,25,56443.44435258757,16,22
2024-05-15,69,17,133767.72103896952,8,15
2024-05-15,55,17,182155.1242589442,9,14
2024-05-15,113,37,4417202.944013644,22,31
2024-05-15,81,21,278711.69252970046,13,18
2024-05-15,80,20,34961.96580787808,11,18
2024-05-15,71,25,98279.00219252601,16,20
2024-05-15,83,24,739492.7824137995,16,21
2024-05-15,96,26,747594.9148478193,17,23
2024-05-15,73,26,266171.17522741016,12,24
2024-05-15,85,27,79687.9571900753,16,23
2024-05-15,73,26,287081.0376931661,15,22
2024-05-15,28,16,103387.9660097229,8,14
2024-05-15,43,15,24806.709198493874,8,14
2024-05-15,39,20,157938.5440714098,13,13
2024-05-15,64,20,86747.21248597602,15,16
2024-05-15,44,16,348802.97617528244,12,13
2024-05-15,47,21,2175620.239877914,12,17
2024-05-15,23,16,76823.97084989955,8,14
2024-05-15,47,17,95896.30838682392,9,15
2024-05-15,42,14,3108091.8590791347,7,13
2024-05-15,63,26,184648.45840312995,13,22
2024-05-15,85,18,51753.33725693709,8,18
2024-05-15,75,28,225445.64189772165,18,25
2024-05-15,74,24,2030085.3223692188,19,18
2024-05-15,36,19,162932.84044677395,11,14
2024-05-15,30,21,96640.2179667983,15,15
2024-05-15,40,24,2081073.4811883324,13,18
2024-05-15,78,17,51724.65771835014,9,17
2024-05-15,47,21,236313.12521507978,12,18
2024-05-15,85,23,137865.46125292822,17,20
2024-05-15,106,26,1861235.5920894768,18,25
2024-05-15,61,17,1830436.8943108937,10,15
2024-05-15,28,14,31308.60826142036,8,13
2024-05-15,60,19,655079.0967565323,12,16
2024-05-15,33,14,61982.16955485592,7,14
2024-05-15,66,17,225118.7306982518,11,14
2024-05-15,22,13,165030.1937513925,8,12
2024-05-15,28,11,34754.2184678382,5,10
2024-05-15,45,19,50925.32867431604,10,18
2024-05-15,13,11,161590.01272715,5,9
2024-05-15,72,19,307895.88814569416,14,17
2024-05-15,8,9,51504.535285012695,4,8
2024-05-16,17,12,30637.628435737384,7,10
2024-05-16,74,19,537625.3720712351,14,15
2024-05-16,58,20,85262.21825242661,15,16
2024-05-16,65,22,642939.4753342362,14,20
2024-05-16,32,13,98321.52439832185,5,13
2024-05-16,52,24,45139.65954180916,16,21
2024-05-16,57,22,113547.3304846933,14,19
2024-05-16,89,34,205197.02409556025,21,28
2024-05-16,50,22,421290.50796978857,12,17
2024-05-16,70,20,844025.6680991816,14,16
2024-05-16,74,29,492545.58270837617,19,26
2024-05-16,47,17,827698.2145931163,11,17
2024-05-16,55,19,274597.95750500844,12,16
2024-05-16,65,19,146128.2807925795,9,18
2024-05-16,92,31,609780.5423155355,21,27
2024-05-16,75,32,883594.1082188155,22,27
2024-05-16,54,20,75310.21731137772,9,20
2024-05-16,30,19,40296.40074219956,10,16
2024-05-16,68,23,1040748.7203719009,17,19
2024-05-16,76,24,4550223.067603994,16,21
2024-05-16,167,49,1614164.3993136135,32,39
2024-05-16,126,41,788934.2402218371,24,37
2024-05-16,118,30,158010.5146531188,14,25
2024-05-16,63,26,448886.2733531944,15,21
2024-05-16,85,28,3499549.3133849036,17,24
2024-05-16,44,18,163342.02171063345,11,15
2024-05-16,92,26,745072.7862339851,15,22
2024-05-16,58,21,1125293.8528990285,14,17
2024-05-16,59,18,399498.72865652904,10,18
2024-05-16,64,27,378502.94130322157,15,21
2024-05-16,87,28,97765.18052125158,20,26
2024-05-16,40,21,50749.453003003975,12,17
2024-05-16,50,18,237695.18316765237,10,16
2024-05-16,74,27,546734.3191436124,19,22
2024-05-16,62,26,1285862.10878055,14,22
2024-05-16,62,23,135219.32348731486,13,22
2024-05-16,39,18,23545.974533840166,10,18
2024-05-16,40,22,376030.003622378,12,18
2024-05-16,19,17,31823.08411743573,9,14
2024-05-16,51,14,130653.85753286038,8,14
2024-05-16,33,17,343213.48388583417,9,15
2024-05-16,19,16,103615.8399553904,8,13
2024-05-16,43,21,453120.12448778417,11,18
2024-05-16,56,21,164920.91992808177,10,20
2024-05-16,24,16,135130.9127362685,7,14
2024-05-16,55,17,95870.57754204902,8,16
2024-05-16,115,21,149324.82153439597,14,17
2024-05-16,53,22,475069.8870717158,14,16
2024-05-16,63,21,489145.9019867616,10,18
2024-05-16,63,27,77596.96632523925,16,23
2024-05-16,61,27,2061433.7402746729,14,26
2024-05-16,51,23,63181.80230601215,13,18
2024-05-16,159,30,128144.05198922484,16,26
2024-05-16,242,28,369155.61859639466,14,26
2024-05-16,31,14,10975.104054615684,6,13
2024-05-16,63,13,28680.123096103907,6,13
2024-05-16,39,17,18873.271752771023,7,16
2024-05-16,99,22,178093.14543620264,13,22
2024-05-16,61,18,97144.526820451,11,16
2024-05-16,28,16,28726.020375505053,8,15
2024-05-16,47,21,112449.99309290294,13,18
2024-05-16,24,15,101378.63318308668,8,14
2024-05-16,32,18,73918.90518665129,10,15
2024-05-16,44,12,28529.727890551105,6,12
2024-05-16,7,7,4448.787521716276,3,7
2024-05-17,8,7,18732.45770919577,4,5
2024-05-17,25,11,11828.182539740761,6,11
2024-05-17,47,14,46689.99290979257,8,13
2024-05-17,34,14,329462.68564414635,7,12
2024-05-17,38,11,90982.48896379142,5,10
2024-05-17,108,31,2906702.510169458,20,28
2024-05-17,72,19,38369.832323261064,13,17
2024-05-17,64,23,341360.9491266077,12,20
2024-05-17,74,18,128381.07113800239,11,18
2024-05-17,122,30,302910.7221577971,18,27
2024-05-17,70,19,73874.83742238666,11,15
2024-05-17,71,23,3782485.132999592,16,19
2024-05-17,90,25,3144505.3053528625,17,21
2024-05-17,74,25,233316.2063228362,16,20
2024-05-17,42,16,53192.65520040077,9,13
2024-05-17,129,27,202425.82766952744,16,26
2024-05-17,65,19,1140529.959007884,12,15
2024-05-17,63,17,435960.81158240035,9,17
2024-05-17,74,22,40535.918191814,10,21
2024-05-17,84,20,397726.5185360988,12,19
2024-05-17,78,23,1711384.253737345,16,17
2024-05-17,93,26,407331.13831121963,17,22
2024-05-17,101,27,493295.2332467832,17,22
2024-05-17,61,14,87551.93951787229,8,13
2024-05-17,80,18,103851.37535917936,12,17
2024-05-17,76,25,105345.44552403761,16,20
2024-05-17,79,24,182214.43209788558,13,22
2024-05-17,70,18,132451.4535368873,8,16
2024-05-17,103,22,201955.65584754947,15,21
2024-05-17,43,13,158784.9667302747,7,12
2024-05-17,50,14,31586.898528659432,7,14
2024-05-17,26,10,10421.087719254156,4,9
2024-05-17,57,22,330707.37561467383,13,16
2024-05-17,72,20,72071.12047253619,12,16
2024-05-17,53,21,56477.43114504741,11,18
2024-05-17,57,17,161800.76160702732,13,14
2024-05-17,60,22,52338.45617686408,14,19
2024-05-17,69,27,413139.80408392387,15,21
2024-05-17,52,22,1588795.266715105,13,21
2024-05-17,43,17,311168.40215147764,7,15
2024-05-17,66,21,196926.3375130106,13,19
2024-05-17,47,15,471668.86543574603,10,14
2024-05-17,52,30,1983372.777469096,19,28
2024-05-17,32,19,65856.61021011425,11,16
2024-05-17,156,16,114030.54035675373,10,15
2024-05-17,45,14,115190.72413665341,7,13
2024-05-17,121,29,249898.70576771503,17,26
2024-05-17,103,23,104801.15772046105,13,21
2024-05-17,150,29,2352042.773606202,17,26
2024-05-17,70,21,612674.4734308571,10,18
2024-05-17,109,29,351034.1330637954,18,26
2024-05-17,72,20,120508.93545129617,11,19
2024-05-17,62,19,59026.67575909009,11,17
2024-05-17,44,12,90156.41082295205,7,11
2024-05-17,39,13,17141.033560996744,7,12
2024-05-17,53,16,35017.740290861155,9,16
2024-05-17,57,15,151379.60960057203,9,13
2024-05-17,42,13,89655.92973773563,8,11
2024-05-17,19,9,21523.68751867745,4,9
2024-05-17,21,9,19904.29329420036,4,9
